KNN,DT,NB,SVM,MLP
0.6084905660377359,0.6839622641509434,0.7783018867924528,0.49528301886792453,0.6650943396226415
0.6132075471698113,0.7075471698113207,0.8254716981132075,0.4528301886792453,0.6792452830188679
0.5990566037735849,0.6698113207547169,0.7641509433962265,0.42452830188679247,0.6792452830188679
0.589622641509434,0.660377358490566,0.7735849056603774,0.42924528301886794,0.6650943396226415
0.6981132075471698,0.7358490566037735,0.8113207547169812,0.4811320754716981,0.7264150943396226
0.589622641509434,0.7216981132075472,0.8018867924528302,0.419811320754717,0.6226415094339622
0.6132075471698113,0.7216981132075472,0.8018867924528302,0.5047169811320755,0.7169811320754716
0.5613207547169812,0.6792452830188679,0.7688679245283019,0.4481132075471698,0.7028301886792453
0.6273584905660378,0.6886792452830188,0.8018867924528302,0.5047169811320755,0.7594339622641509
0.5707547169811321,0.7452830188679245,0.8160377358490566,0.4858490566037736,0.6839622641509434
0.6226415094339622,0.660377358490566,0.8160377358490566,0.44339622641509435,0.6886792452830188
0.6273584905660378,0.7169811320754716,0.7971698113207547,0.42452830188679247,0.7028301886792453
0.6084905660377359,0.6839622641509434,0.8160377358490566,0.4339622641509434,0.6886792452830188
0.5849056603773585,0.6462264150943396,0.7452830188679245,0.4669811320754717,0.6415094339622641
0.5990566037735849,0.7358490566037735,0.8160377358490566,0.44339622641509435,0.7028301886792453
0.6462264150943396,0.6839622641509434,0.8018867924528302,0.419811320754717,0.6981132075471698
0.6698113207547169,0.7075471698113207,0.8207547169811321,0.46226415094339623,0.75
0.6273584905660378,0.6792452830188679,0.7877358490566038,0.46226415094339623,0.6839622641509434
0.589622641509434,0.6839622641509434,0.8066037735849056,0.4528301886792453,0.5943396226415094
0.5943396226415094,0.6650943396226415,0.7830188679245284,0.4716981132075472,0.6886792452830188
