KNN,DT,NB,SVM,MLP,MV,SV,BC
0.6179245283018868,0.6462264150943396,0.419811320754717,0.7405660377358491,0.6745283018867925,0.6839622641509434,0.6698113207547169,0.4339622641509434
0.5990566037735849,0.6415094339622641,0.41037735849056606,0.7594339622641509,0.6745283018867925,0.7028301886792453,0.7311320754716981,0.44339622641509435
0.5849056603773585,0.6320754716981132,0.4858490566037736,0.7877358490566038,0.6226415094339622,0.6792452830188679,0.6886792452830188,0.4056603773584906
0.6556603773584906,0.7405660377358491,0.419811320754717,0.7924528301886793,0.7122641509433962,0.7735849056603774,0.7641509433962265,0.49528301886792453
0.5849056603773585,0.7358490566037735,0.4528301886792453,0.7971698113207547,0.6745283018867925,0.7594339622641509,0.7122641509433962,0.4528301886792453
0.6415094339622641,0.6886792452830188,0.4481132075471698,0.7877358490566038,0.6933962264150944,0.7405660377358491,0.7169811320754716,0.46226415094339623
0.6084905660377359,0.7028301886792453,0.42452830188679247,0.7311320754716981,0.5990566037735849,0.6933962264150944,0.7452830188679245,0.4858490566037736
0.5660377358490566,0.6839622641509434,0.5188679245283019,0.7783018867924528,0.6698113207547169,0.7264150943396226,0.7028301886792453,0.4811320754716981
0.5707547169811321,0.6933962264150944,0.42924528301886794,0.8301886792452831,0.6981132075471698,0.6981132075471698,0.75,0.44339622641509435
0.6886792452830188,0.7169811320754716,0.5047169811320755,0.7877358490566038,0.6462264150943396,0.7735849056603774,0.7452830188679245,0.419811320754717
0.6698113207547169,0.7169811320754716,0.4811320754716981,0.8018867924528302,0.6981132075471698,0.7405660377358491,0.7452830188679245,0.4716981132075472
0.6745283018867925,0.7216981132075472,0.39622641509433965,0.8160377358490566,0.6933962264150944,0.7783018867924528,0.75,0.4858490566037736
0.589622641509434,0.7122641509433962,0.4339622641509434,0.7641509433962265,0.6320754716981132,0.7264150943396226,0.7216981132075472,0.4811320754716981
0.6179245283018868,0.7028301886792453,0.5,0.7688679245283019,0.7216981132075472,0.7594339622641509,0.6933962264150944,0.4811320754716981
0.589622641509434,0.6698113207547169,0.4386792452830189,0.7641509433962265,0.6556603773584906,0.7028301886792453,0.7075471698113207,0.45754716981132076
0.6132075471698113,0.7169811320754716,0.46226415094339623,0.7688679245283019,0.6981132075471698,0.7216981132075472,0.7169811320754716,0.49528301886792453
0.6886792452830188,0.7122641509433962,0.4858490566037736,0.8254716981132075,0.6886792452830188,0.7641509433962265,0.7594339622641509,0.49528301886792453
0.6320754716981132,0.660377358490566,0.47641509433962265,0.8113207547169812,0.6745283018867925,0.7924528301886793,0.7594339622641509,0.5141509433962265
0.6509433962264151,0.7028301886792453,0.46226415094339623,0.7405660377358491,0.6556603773584906,0.7311320754716981,0.7075471698113207,0.5
0.5990566037735849,0.6886792452830188,0.45754716981132076,0.8066037735849056,0.6745283018867925,0.7405660377358491,0.7169811320754716,0.41037735849056606
